Id	PreviousId	IsOverarching	Name	Description	URL	Type
S21		0	Citizen Access	Supports Citizens to access their services safely and securely. Also supports Citizens in viewing and updating Patient information online.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133929/Citizen+Access	X
S22		0	Common Reporting	Supports the reporting needs that are common to General Practices and includes searchable report templates.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133675/Common+Reporting	X
S49		0	Management Information (MI) Reporting	Supports the submission of aggregated counts of information regarding Citizen Services, appointments, prescriptions and documents to NHS Digital.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134317/Management+Information+%28MI%29+Reporting	X
S32		0	Interoperability Standard	Defines a comprehensive set of standards, interfaces and protocols that Solutions and systems will use when interoperating.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133681/Interoperability+Standard	I
S33		0	111	Supports receipt and consumption of data sent by 111 provider systems for transfer of care to the GP Practice.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133945/111	I
S54		0	Authentication and Access	Supports user authentication and access controls to NHS systems and national services.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133913/Authentication+and+Access	I
S34		0	Digital Diagnostics & Pathology Messaging	Supports the transmission and validation of results data to GP systems where a test request has been placed with a laboratory.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133752	I
S35		0	e-Referrals Service (eRS)	Supports electronic booking with a choice of place, date and time for hospital or clinic appointments.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133966	I
S36		0	Electronic Prescription Service (EPS)	Supports sending prescriptions electronically to a dispenser (such as a pharmacy) of the Patient's choice.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133858	I
S37		0	Electronic Yellow Card Reporting	Supports electronic reporting of suspected adverse drug reactions (ADRs).	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134080/Electronic+Yellow+Card+Reporting	I
S38		0	Email	Ensures that email services within solutions are securely configured.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133922/Email	I
S40		0	External Interface Specification (EIS)	This standard provides detail on how to connect to NHS Digital Spine Services.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133762	I
S43		0	GP2GP	Supports the electronic transfer of a Patient Record when a Patient moves from one Practice to another.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134336/GP2GP	I
S44		0	GP Connect	Supports sharing of data held within GP IT solutions across health and social care organisations.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391133650/GP+Connect	I
S46		0	GPES Data Extraction	Supports secure collection of information from General Practices and its delivery to approved organisations.	https://gpitbjss.atlassian.net/wiki/spaces/GPITF/pages/1391134238/GPES+Data+Extraction	I
